original_text,summary
it also runs os 2 character based apps and posix apps the dos 16bit and 32 bit windows apps run in a windows 32 bit subsystem if you consider the fact that nt has the lanman redirectors built in support for tcp ip built in support for netbeui comes with tcp utils like ping and an ftp client etc applications like schedule and a 32 bit version of msmail the storage argument isnt an issue i ran it on a 486 with 8mram and it did a ton of disk swapping with a 19m virtual memory paging file it functioned but it crawled this was the oct build i upgraded the machine to 16m and the performance is good at that point i installed the march build consider they are probably still working on the feature set and havent done a lot of fine tuning to the code yet i have little info on chicago so i cant make a comparison is it in beta is there anyone out there who has tested both and cares to make a comparison just my 0 02,it also runs os 2 character based apps and posix apps the dos 16bit and 32 bit windows apps run in a windows 32 bit subsystem if you consider the fact that nt has the lanman redirectors built in support for tcp ip built in support for netbeui comes with tcp utils like ping and an ftp client etc applications like schedule and a 32 bit version of msmail the storage argument isnt an issue i ran it on a 486 with 8mram and it did a ton of disk swapping with a 19m virtual memory paging file it functioned but it crawled this was the oct build i upgraded the machine to 16m and the performance is good at that point i installed the march build consider they are probably still working on the feature set and havent done a lot of fine tuning to the code yet i have little info on chicago so i cant make a comparison is it in beta is there anyone out there who has tested both and cares to make a comparison just my 0 02
that is in fact the current version it only came out in december my test movie was created at 320 240 resolution it wasn t being scaled up scaling was a very cpu intensive operation with the original quicktime 1 0 the current version has optimizations for ratios like 4 1 160 120 320 240 but even so i m prepared to believe that the performance isn t as good as with playing back an actual 320 240 movie i haven t done any numerical measurements for scaled playback,that is in fact the current version it only came out in december my test movie was created at 320 240 resolution it wasn t being scaled up scaling was a very cpu intensive operation with the original quicktime 1 0 the current version has optimizations for ratios like 4 1 160 120 320 240 but even so i m prepared to believe that the performance isn t as good as with playing back an actual 320 240 movie i haven t done any numerical measurements for scaled playback
any new reports about iisi clock upgrade to 25 mhz 33 mhz any failures,any new reports about iisi clock upgrade to 25 mhz 33 mhz any failures
hello i am the proud new owner of a mac 512k upon power up and insertion of the sytem disk i get sad mac code 0f0064 can anyone give me a clue to what this means thanks,hello i am the proud new owner of a mac 512k upon power up and insertion of the sytem disk i get sad mac code 0f0064 can anyone give me a clue to what this means thanks
ok it is for a game that is 3d and you have listed the characteristics that you are looking for i think you may have left out a few important parameters the polygons are all convex they have less than n sides you are drawing meshes walls doors etc i believe that the algorithms you can get that will only draw convex polygons can be much more efficient than those that can draw concave self intersecting polygons this efficiency can largely be attributed to the fact that simple convex polygons only have a left and a right edge on each scan line complex figure 8 type polygons can be a bit trickier the less than n sides specification especially if it is a very small number like 3 or 4 allow othe optimisations to be made thus for a high speed game application i think you are looking for code that exploits and is hence limited to drawing simple convex polygons it may have been that they were very general purpose algorithms if you limit yourself to 3 or four sided simple convex polygons i think you might be suprised how fast a c algorithm with a asm block move to fill each scan line might actually be,ok it is for a game that is 3d and you have listed the characteristics that you are looking for i think you may have left out a few important parameters the polygons are all convex they have less than n sides you are drawing meshes walls doors etc i believe that the algorithms you can get that will only draw convex polygons can be much more efficient than those that can draw concave self intersecting polygons this efficiency can largely be attributed to the fact that simple convex polygons only have a left and a right edge on each scan line complex figure 8 type polygons can be a bit trickier the less than n sides specification especially if it is a very small number like 3 or 4 allow othe optimisations to be made thus for a high speed game application i think you are looking for code that exploits and is hence limited to drawing simple convex polygons it may have been that they were very general purpose algorithms if you limit yourself to 3 or four sided simple convex polygons i think you might be suprised how fast a c algorithm with a asm block move to fill each scan line might actually be
could someone tell me if the ati graphic ultra pro is supported in a version of vpic now if so where is it located thanks robert email replies would be appreciated,could someone tell me if the ati graphic ultra pro is supported in a version of vpic now if so where is it located thanks robert email replies would be appreciated
salutations i don t usually subscribe to these newsgroups so i would really appreciate it if someone could possibly e mail me the answer to my problem i have been using windows 3 1 since buying it last winter but i have just now come across an annoying bug i now have about 8 different groups in program manager but it seems that everytime i install something new that makes a new group it promptly disappears after i turn of windows this happened when i installed excel and winfax pro v 3 they both created their own groups but when i turned off windows and reran them they were gone i had to manually pull them up as new items and put them in a previously existing group as all new gropus disappear as soon as i turn off windows my set up precision 386dx 25 w 4 megs trident 8900c with 1 meg windows 3 1 running in 800x600 colour mode logitech mouseman thank you in advance emile woo ewoo unixg ubc ca,salutations i don t usually subscribe to these newsgroups so i would really appreciate it if someone could possibly e mail me the answer to my problem i have been using windows 3 1 since buying it last winter but i have just now come across an annoying bug i now have about 8 different groups in program manager but it seems that everytime i install something new that makes a new group it promptly disappears after i turn of windows this happened when i installed excel and winfax pro v 3 they both created their own groups but when i turned off windows and reran them they were gone i had to manually pull them up as new items and put them in a previously existing group as all new gropus disappear as soon as i turn off windows my set up precision 386dx 25 w 4 megs trident 8900c with 1 meg windows 3 1 running in 800x600 colour mode logitech mouseman thank you in advance emile woo ewoo unixg ubc ca
i believe the fpu on the lciii is always supposed to go on the logic board not in the pds board i have heard of crashing problems with pds based fpus on the lciii asante may have fixed them but why bother why bother building an lciii card with an fpu anyway the extra circuitry gives the card one more chance to fail i say fpu on main logic board in socket ethernet alone on pds card in slot,i believe the fpu on the lciii is always supposed to go on the logic board not in the pds board i have heard of crashing problems with pds based fpus on the lciii asante may have fixed them but why bother why bother building an lciii card with an fpu anyway the extra circuitry gives the card one more chance to fail i say fpu on main logic board in socket ethernet alone on pds card in slot
there are a couple i am personally using screenpeace which is a screen saver which will also select your wallpaper from a specified directory not necessarily the windows dir let me know if you want info i ve been pretty happy with screenpeace and the latest version 3 is not at cica but oak windows3 scrpc3or something mickey,there are a couple i am personally using screenpeace which is a screen saver which will also select your wallpaper from a specified directory not necessarily the windows dir let me know if you want info i ve been pretty happy with screenpeace and the latest version 3 is not at cica but oak windows3 scrpc3or something mickey
you re not going to like this but if memory serves me postings i ve read in this newsgroup and elsewhere indicate that there are no repeat no internal modems for the duo besides the express modem at any speed something having to do with the modem using the main cpu for some of its tasks and apple not releasing details on the architecture or something i m vague on the details but the gist was that there are going to be no third party internal duo modems if i m wrong somebody please correct me on this sorry to be the bearer of bad news joel,you re not going to like this but if memory serves me postings i ve read in this newsgroup and elsewhere indicate that there are no repeat no internal modems for the duo besides the express modem at any speed something having to do with the modem using the main cpu for some of its tasks and apple not releasing details on the architecture or something i m vague on the details but the gist was that there are going to be no third party internal duo modems if i m wrong somebody please correct me on this sorry to be the bearer of bad news joel
apple and several other manufacturers have already committed to a monitor design that does just that it was announced along with the new administration s efforts to cut waste and fuel consumption i know that in the buildings where i work gigawatts are wasted by unused always on machines and monitors kelley thomas kelley boylan powerpc ibm austin kelleyb austin ibm com,apple and several other manufacturers have already committed to a monitor design that does just that it was announced along with the new administration s efforts to cut waste and fuel consumption i know that in the buildings where i work gigawatts are wasted by unused always on machines and monitors kelley thomas kelley boylan powerpc ibm austin kelleyb austin ibm com
hi i own a iisi and i m considering buying a powerbook can anyone give me a listing of all the models and tell me what i m looking for i e passive matrix vs active memory sizes upgradeability internal modems disk size if you could provide some prices too that would help i m not informed enough on powerbooks to know how well they operate i have been following the posts on some of the problems that have been encountered such as the trackball not working in the horizontal i would appreciate the list as well as any advice you may have,hi i own a iisi and i m considering buying a powerbook can anyone give me a listing of all the models and tell me what i m looking for i e passive matrix vs active memory sizes upgradeability internal modems disk size if you could provide some prices too that would help i m not informed enough on powerbooks to know how well they operate i have been following the posts on some of the problems that have been encountered such as the trackball not working in the horizontal i would appreciate the list as well as any advice you may have
in article 1993apr16 075822 22121 galileo cc rochester edu 60ns 72 pin simms 2 configs 4mb 8mb in each case the memory is soldered on the board leaving the 4 simm sockets open 132mb is the total addressable memory for a 650,in article 1993apr16 075822 22121 galileo cc rochester edu 60ns 72 pin simms 2 configs 4mb 8mb in each case the memory is soldered on the board leaving the 4 simm sockets open 132mb is the total addressable memory for a 650
i too had a very unpleasant experience with hardware that s shi it featured repeated lies about when things had shipped a salesperson who was totally ignorant about what he was selling a charge for duties i had specifically been assured were not payable and then a monitor their house brand 2 page monochrome that was the most unadulterated piece of junk it has ever been my misfortune to experience in the world of electronics i shipped it back and they refunded my money but it still cost me something over 200 for long distance charges non refundable taxes and duties and lost time,i too had a very unpleasant experience with hardware that s shi it featured repeated lies about when things had shipped a salesperson who was totally ignorant about what he was selling a charge for duties i had specifically been assured were not payable and then a monitor their house brand 2 page monochrome that was the most unadulterated piece of junk it has ever been my misfortune to experience in the world of electronics i shipped it back and they refunded my money but it still cost me something over 200 for long distance charges non refundable taxes and duties and lost time
1 fire up microsoft word for windows version 2 0c 2 type the following paragraph if you want to rite really very dead good you just cant live without one of the wonderfully write aids what you re can get what helps me impress me boss 3 under tools options grammar select use grammar and style rules strictly all rules and click ok 4 run the grammar checker this also does a spelling check no complaints readability passive sentences 0 flesch reading ease 84 5 flesch grade level 6 6 flesch kincaid 5 2 gunning fog index 8 7,1 fire up microsoft word for windows version 2 0c 2 type the following paragraph if you want to rite really very dead good you just cant live without one of the wonderfully write aids what you re can get what helps me impress me boss 3 under tools options grammar select use grammar and style rules strictly all rules and click ok 4 run the grammar checker this also does a spelling check no complaints readability passive sentences 0 flesch reading ease 84 5 flesch grade level 6 6 flesch kincaid 5 2 gunning fog index 8 7
,
there you go com1 and com3 use the same irq therefore you can t use a mouse on com3 and a modem on com1 or vice versa it s a limitation of dos and in fact windows will not see a mouse on anything other than com1 or com2 accept this fact and either get a bus mouse or get a new computer no the advice above applies,there you go com1 and com3 use the same irq therefore you can t use a mouse on com3 and a modem on com1 or vice versa it s a limitation of dos and in fact windows will not see a mouse on anything other than com1 or com2 accept this fact and either get a bus mouse or get a new computer no the advice above applies
my package is based on several articles about non standard radiosity and some unpublished methods the main articles are cohen chen wallace greenberg a progressive refinement approach to fast radiosity image generation computer graphics siggraph v 22 no 4 pp 75 84 august 1988 silion puech a general two pass method integrating specular and diffuse reflection computer graphics siggraph v23 no 3 pp335 344 july 1989 i do not use hemi cubes i have no special hardware sun sparcstation use anonymous as username and your e mail address as password stephan stephan amann sig computer graphics university of berne switzerland amann iam unibe ch tel 41 31 65 46 79 fax 41 31 65 39 65 projects radiosity raytracing computer graphics,my package is based on several articles about non standard radiosity and some unpublished methods the main articles are cohen chen wallace greenberg a progressive refinement approach to fast radiosity image generation computer graphics siggraph v 22 no 4 pp 75 84 august 1988 silion puech a general two pass method integrating specular and diffuse reflection computer graphics siggraph v23 no 3 pp335 344 july 1989 i do not use hemi cubes i have no special hardware sun sparcstation use anonymous as username and your e mail address as password stephan stephan amann sig computer graphics university of berne switzerland amann iam unibe ch tel 41 31 65 46 79 fax 41 31 65 39 65 projects radiosity raytracing computer graphics
i have an 8514 a card and i am using windows in 1024x768 mode normal 8514 a font not small in the 386 enhanced mode the dos window font is too small for my 14 monitor is there a way to spacify the font size for the dos window you ll have to excuse me if there is a trivial answer since i am fairly new to ms windows world thanks please include this message for reference s alavi ssa unity ncsu edu 919 467 7909 h 919 515 8063 w,i have an 8514 a card and i am using windows in 1024x768 mode normal 8514 a font not small in the 386 enhanced mode the dos window font is too small for my 14 monitor is there a way to spacify the font size for the dos window you ll have to excuse me if there is a trivial answer since i am fairly new to ms windows world thanks please include this message for reference s alavi ssa unity ncsu edu 919 467 7909 h 919 515 8063 w
,
it came from a reseller survey i don t recall any fud here maybe an example for the most part this newsgroup is attack oriented microsoft has been attacked on anything ranging from the quality of our products the intelligence of our people the integrity of our business etc anyone would get defensive when being baselessly attacked we are human beings as well you should expect a response when a claim that an employee might feel is unwarranted is leveled,it came from a reseller survey i don t recall any fud here maybe an example for the most part this newsgroup is attack oriented microsoft has been attacked on anything ranging from the quality of our products the intelligence of our people the integrity of our business etc anyone would get defensive when being baselessly attacked we are human beings as well you should expect a response when a claim that an employee might feel is unwarranted is leveled
hey folks is it possible to short out your cmos chip i think mine is fried these are the symptoms i have to do the following to get my computer a gateway 486dx33 to boot turn the power off disconnect the battery to the cmos chip turn the power on get into setup upon getting the cmos configuration error set up the cmos exit the setup with f10 phoenix bios ignore the diskette 0 seek error and press f1 the computer then boots normally both hard drives are accessible but the floppy drives are not i can back up over the network and such but if i need to reboot i have to turn off the computer and repeat the steps above if i simply ctl alt del the computer hangs after the memory test does this sound like the cmos chip is fried can i buy another one where thank you for your kind attention john,hey folks is it possible to short out your cmos chip i think mine is fried these are the symptoms i have to do the following to get my computer a gateway 486dx33 to boot turn the power off disconnect the battery to the cmos chip turn the power on get into setup upon getting the cmos configuration error set up the cmos exit the setup with f10 phoenix bios ignore the diskette 0 seek error and press f1 the computer then boots normally both hard drives are accessible but the floppy drives are not i can back up over the network and such but if i need to reboot i have to turn off the computer and repeat the steps above if i simply ctl alt del the computer hangs after the memory test does this sound like the cmos chip is fried can i buy another one where thank you for your kind attention john
i solved my problem i still do not understand why it happens ths way perhaps some of you c gurus can explain this to all of us for some reason when i define the following functins in the class definition in the h file the compiler thinks some pure virtual functions are not defined when i placed these two in a separate source file and compiled them the problem went away any ideas what happen are the functions that are defined in the class construct all inline is this the problem virtual int isequal const object far obj const return this hashentry obj virtual void printon rostream os const os hwindow is void far hwindow n,i solved my problem i still do not understand why it happens ths way perhaps some of you c gurus can explain this to all of us for some reason when i define the following functins in the class definition in the h file the compiler thinks some pure virtual functions are not defined when i placed these two in a separate source file and compiled them the problem went away any ideas what happen are the functions that are defined in the class construct all inline is this the problem virtual int isequal const object far obj const return this hashentry obj virtual void printon rostream os const os hwindow is void far hwindow n
is there an ftp site where i can get the ms speaker sound driver there s a sound exe file that claims to be the driver but i m suspicious since it s not a drv file thats the file it s a self extracting archive run it and it extracts a drv file michael,is there an ftp site where i can get the ms speaker sound driver there s a sound exe file that claims to be the driver but i m suspicious since it s not a drv file thats the file it s a self extracting archive run it and it extracts a drv file michael
is there any program available free or otherwise for taking a tiff or gif or some other bitmapped file and turning it or parts of it into ascii characters dos os 2 or platform independent programs if possible,is there any program available free or otherwise for taking a tiff or gif or some other bitmapped file and turning it or parts of it into ascii characters dos os 2 or platform independent programs if possible
