Vectorization,Classifier,Accuracy,F1-Score
Tfidf,Svm,0.5425,0.5420061626271817
Tfidf,Neural Network,0.6275,0.6277556223407847
Tfidf,Random Forest,0.6925,0.6922535656366655
Tfidf,Xgboost,0.6625,0.6638030440550754
Doc2Vec,Svm,0.625,0.6262767894238204
Doc2Vec,Neural Network,0.62,0.6212878536693193
Doc2Vec,Random Forest,0.6175,0.6164649944735453
Doc2Vec,Xgboost,0.6075,0.6071913089727423
Sentence Bert,Svm,0.7875,0.787654150610744
Sentence Bert,Neural Network,0.745,0.7445282987604065
Sentence Bert,Random Forest,0.72,0.7194708501152931
Sentence Bert,Xgboost,0.725,0.7248270552552053
