Combination,Classifier,Vectorization,Accuracy,F1-Score,Precision,Recall
Svm - Tfidf,Svm,Tfidf,0.33125,0.2708475734791524,0.5131467345207803,0.33125
Neural Network - Tfidf,Neural Network,Tfidf,0.44375,0.43656417261600194,0.4476624839124839,0.44375
Random Forest - Tfidf,Random Forest,Tfidf,0.69375,0.698790494458653,0.7364224137931034,0.69375
Xgboost - Tfidf,Xgboost,Tfidf,0.66875,0.6681120743219588,0.6735673436041083,0.66875
Svm - Doc2Vec,Svm,Doc2Vec,0.575,0.5653790585059936,0.575007215007215,0.575
Neural Network - Doc2Vec,Neural Network,Doc2Vec,0.55625,0.5480980245091036,0.5478732290831327,0.55625
Random Forest - Doc2Vec,Random Forest,Doc2Vec,0.55625,0.551195779417195,0.5494656890933487,0.55625
Xgboost - Doc2Vec,Xgboost,Doc2Vec,0.55625,0.5561653934897915,0.5579722445576104,0.55625
Svm - Sentence Bert,Svm,Sentence Bert,0.7125,0.7102638884938968,0.711003861003861,0.7125
Neural Network - Sentence Bert,Neural Network,Sentence Bert,0.6875,0.6827758597820639,0.6841937757166564,0.6875
Random Forest - Sentence Bert,Random Forest,Sentence Bert,0.65,0.6486198188784396,0.6548201519943542,0.65
Xgboost - Sentence Bert,Xgboost,Sentence Bert,0.63125,0.6277944611277944,0.6268097039259162,0.63125
