Vectorization,Classifier,Accuracy,F1-Score
Tfidf,Svm,0.33125,0.2708475734791524
Tfidf,Neural Network,0.44375,0.43656417261600194
Tfidf,Random Forest,0.69375,0.698790494458653
Tfidf,Xgboost,0.66875,0.6681120743219588
Doc2Vec,Svm,0.575,0.5653790585059936
Doc2Vec,Neural Network,0.55625,0.5480980245091036
Doc2Vec,Random Forest,0.55625,0.551195779417195
Doc2Vec,Xgboost,0.55625,0.5561653934897915
Sentence Bert,Svm,0.7125,0.7102638884938968
Sentence Bert,Neural Network,0.6875,0.6827758597820639
Sentence Bert,Random Forest,0.65,0.6486198188784396
Sentence Bert,Xgboost,0.63125,0.6277944611277944
