Combination,Classifier,Vectorization,Accuracy,F1-Score,Precision,Recall
Svm - Tfidf,Svm,Tfidf,0.5425,0.5420061626271817,0.636953966562304,0.5425
Neural Network - Tfidf,Neural Network,Tfidf,0.6275,0.6277556223407847,0.6283534593337876,0.6275
Random Forest - Tfidf,Random Forest,Tfidf,0.6925,0.6922535656366655,0.6934678352204127,0.6925
Xgboost - Tfidf,Xgboost,Tfidf,0.6625,0.6638030440550754,0.6714175602778735,0.6625
Svm - Doc2Vec,Svm,Doc2Vec,0.6325,0.6331250225587755,0.63831164140904,0.6325
Neural Network - Doc2Vec,Neural Network,Doc2Vec,0.635,0.6337446911845246,0.6349919378617345,0.635
Random Forest - Doc2Vec,Random Forest,Doc2Vec,0.635,0.6352059995737226,0.6360952685130264,0.635
Xgboost - Doc2Vec,Xgboost,Doc2Vec,0.6325,0.6313300805759197,0.6313298981405524,0.6325
Svm - Sentence Bert,Svm,Sentence Bert,0.7875,0.787654150610744,0.7879400453915016,0.7875
Neural Network - Sentence Bert,Neural Network,Sentence Bert,0.745,0.7445282987604065,0.7455569374969383,0.745
Random Forest - Sentence Bert,Random Forest,Sentence Bert,0.72,0.7194708501152931,0.7192108657967452,0.72
Xgboost - Sentence Bert,Xgboost,Sentence Bert,0.725,0.7248270552552053,0.7265941879413979,0.725
