Vectorization,Classifier,Accuracy,F1-Score
Tfidf,Svm,0.5425,0.5420061626271817
Tfidf,Neural Network,0.6275,0.6277556223407847
Tfidf,Random Forest,0.6925,0.6922535656366655
Tfidf,Xgboost,0.6625,0.6638030440550754
Doc2Vec,Svm,0.6325,0.6331250225587755
Doc2Vec,Neural Network,0.635,0.6337446911845246
Doc2Vec,Random Forest,0.635,0.6352059995737226
Doc2Vec,Xgboost,0.6325,0.6313300805759197
Sentence Bert,Svm,0.7875,0.787654150610744
Sentence Bert,Neural Network,0.745,0.7445282987604065
Sentence Bert,Random Forest,0.72,0.7194708501152931
Sentence Bert,Xgboost,0.725,0.7248270552552053
